filepath,filename,Image DateTime,EXIF DateTimeOriginal,EXIF DateTimeDigitized,Date Taken
IMG_1802.JPG,IMG_1802.JPG,2006:12:30 22:03:00,2006:12:30 22:03:00,2006:12:30 22:03:00,2006-12-30 22:03:00
IMG_1803.JPG,IMG_1803.JPG,2006:12:30 22:03:17,2006:12:30 22:03:17,2006:12:30 22:03:17,2006-12-30 22:03:17
IMG_1804.JPG,IMG_1804.JPG,2006:12:30 22:07:32,2006:12:30 22:07:32,2006:12:30 22:07:32,2006-12-30 22:07:32
IMG_1805.JPG,IMG_1805.JPG,2006:12:30 22:07:40,2006:12:30 22:07:40,2006:12:30 22:07:40,2006-12-30 22:07:40
IMG_1806.JPG,IMG_1806.JPG,2006:12:30 22:07:53,2006:12:30 22:07:53,2006:12:30 22:07:53,2006-12-30 22:07:53
IMG_1807.JPG,IMG_1807.JPG,2006:12:30 22:23:27,2006:12:30 22:23:27,2006:12:30 22:23:27,2006-12-30 22:23:27
IMG_1808.JPG,IMG_1808.JPG,2006:12:30 22:23:40,2006:12:30 22:23:40,2006:12:30 22:23:40,2006-12-30 22:23:40
IMG_1809.JPG,IMG_1809.JPG,2006:12:30 22:32:02,2006:12:30 22:32:02,2006:12:30 22:32:02,2006-12-30 22:32:02
IMG_1810.JPG,IMG_1810.JPG,2006:12:30 22:32:07,2006:12:30 22:32:07,2006:12:30 22:32:07,2006-12-30 22:32:07
IMG_1811.JPG,IMG_1811.JPG,2006:12:30 22:32:22,2006:12:30 22:32:22,2006:12:30 22:32:22,2006-12-30 22:32:22
IMG_1812.JPG,IMG_1812.JPG,2006:12:30 22:32:41,2006:12:30 22:32:41,2006:12:30 22:32:41,2006-12-30 22:32:41
IMG_1813.JPG,IMG_1813.JPG,2006:12:30 22:32:48,2006:12:30 22:32:48,2006:12:30 22:32:48,2006-12-30 22:32:48
IMG_1814.JPG,IMG_1814.JPG,2006:12:30 22:34:02,2006:12:30 22:34:02,2006:12:30 22:34:02,2006-12-30 22:34:02
IMG_1815.JPG,IMG_1815.JPG,2006:12:30 22:34:09,2006:12:30 22:34:09,2006:12:30 22:34:09,2006-12-30 22:34:09
IMG_1816.JPG,IMG_1816.JPG,2006:12:30 22:36:38,2006:12:30 22:36:38,2006:12:30 22:36:38,2006-12-30 22:36:38
IMG_1817.JPG,IMG_1817.JPG,2006:12:30 22:36:50,2006:12:30 22:36:50,2006:12:30 22:36:50,2006-12-30 22:36:50
IMG_1818.JPG,IMG_1818.JPG,2006:12:30 22:53:01,2006:12:30 22:53:01,2006:12:30 22:53:01,2006-12-30 22:53:01
IMG_1819.JPG,IMG_1819.JPG,2006:12:30 22:53:12,2006:12:30 22:53:12,2006:12:30 22:53:12,2006-12-30 22:53:12
IMG_1821.JPG,IMG_1821.JPG,2006:12:30 23:10:05,2006:12:30 23:10:05,2006:12:30 23:10:05,2006-12-30 23:10:05
IMG_1822.JPG,IMG_1822.JPG,2006:12:30 23:10:22,2006:12:30 23:10:22,2006:12:30 23:10:22,2006-12-30 23:10:22
IMG_1823.JPG,IMG_1823.JPG,2006:12:30 23:19:14,2006:12:30 23:19:14,2006:12:30 23:19:14,2006-12-30 23:19:14
IMG_1824.JPG,IMG_1824.JPG,2006:12:30 23:19:18,2006:12:30 23:19:18,2006:12:30 23:19:18,2006-12-30 23:19:18
IMG_1825.JPG,IMG_1825.JPG,2006:12:30 23:19:27,2006:12:30 23:19:27,2006:12:30 23:19:27,2006-12-30 23:19:27
IMG_1826.JPG,IMG_1826.JPG,2006:12:30 23:28:15,2006:12:30 23:28:15,2006:12:30 23:28:15,2006-12-30 23:28:15
IMG_1827.JPG,IMG_1827.JPG,2006:12:31 13:28:05,2006:12:31 13:28:05,2006:12:31 13:28:05,2006-12-31 13:28:05
IMG_1828.JPG,IMG_1828.JPG,2006:12:31 13:28:30,2006:12:31 13:28:30,2006:12:31 13:28:30,2006-12-31 13:28:30
IMG_1829.JPG,IMG_1829.JPG,2006:12:31 13:29:14,2006:12:31 13:29:14,2006:12:31 13:29:14,2006-12-31 13:29:14
IMG_1830.JPG,IMG_1830.JPG,2006:12:31 13:30:58,2006:12:31 13:30:58,2006:12:31 13:30:58,2006-12-31 13:30:58
IMG_1831.JPG,IMG_1831.JPG,2007:01:01 00:01:53,2007:01:01 00:01:53,2007:01:01 00:01:53,2007-01-01 00:01:53
IMG_1832.JPG,IMG_1832.JPG,2007:01:01 00:02:03,2007:01:01 00:02:03,2007:01:01 00:02:03,2007-01-01 00:02:03
IMG_1833.JPG,IMG_1833.JPG,2007:01:01 01:06:29,2007:01:01 01:06:29,2007:01:01 01:06:29,2007-01-01 01:06:29
IMG_1834.JPG,IMG_1834.JPG,2007:01:01 01:06:44,2007:01:01 01:06:44,2007:01:01 01:06:44,2007-01-01 01:06:44
IMG_1835.JPG,IMG_1835.JPG,2007:01:01 01:07:21,2007:01:01 01:07:21,2007:01:01 01:07:21,2007-01-01 01:07:21
IMG_1836.JPG,IMG_1836.JPG,2012:04:19 23:35:58,2007:01:01 01:24:48,2007:01:01 01:24:48,2007-01-01 01:24:48
IMG_1837.JPG,IMG_1837.JPG,2012:04:19 23:36:40,2007:01:01 01:25:04,2007:01:01 01:25:04,2007-01-01 01:25:04
IMG_1839.JPG,IMG_1839.JPG,2007:01:01 01:27:04,2007:01:01 01:27:04,2007:01:01 01:27:04,2007-01-01 01:27:04
IMG_1840.JPG,IMG_1840.JPG,2007:01:01 01:28:56,2007:01:01 01:28:56,2007:01:01 01:28:56,2007-01-01 01:28:56
IMG_1841.JPG,IMG_1841.JPG,2012:04:19 23:36:48,2007:01:01 01:29:04,2007:01:01 01:29:04,2007-01-01 01:29:04
P1010053.JPG,P1010053.JPG,0000:00:00 00:00:00,0000:00:00 00:00:00,0000:00:00 00:00:00,2000-01-01 01:01:01
P1010055.JPG,P1010055.JPG,0000:00:00 00:00:00,0000:00:00 00:00:00,0000:00:00 00:00:00,2000-01-01 01:01:01
P1010056.JPG,P1010056.JPG,0000:00:00 00:00:00,0000:00:00 00:00:00,0000:00:00 00:00:00,2000-01-01 01:01:01
P1010057.JPG,P1010057.JPG,0000:00:00 00:00:00,0000:00:00 00:00:00,0000:00:00 00:00:00,2000-01-01 01:01:01
P1010058.JPG,P1010058.JPG,0000:00:00 00:00:00,0000:00:00 00:00:00,0000:00:00 00:00:00,2000-01-01 01:01:01
P5090034.JPG,P5090034.JPG,2004:05:09 07:38:29,2004:05:09 07:38:29,2004:05:09 07:38:29,2004-05-09 07:38:29
P5090035.JPG,P5090035.JPG,2004:05:09 07:40:18,2004:05:09 07:40:18,2004:05:09 07:40:18,2004-05-09 07:40:18
P5090036.JPG,P5090036.JPG,2004:05:09 07:40:45,2004:05:09 07:40:45,2004:05:09 07:40:45,2004-05-09 07:40:45
P7300046.JPG,P7300046.JPG,2005:07:30 07:34:17,2005:07:30 07:34:17,2005:07:30 07:34:17,2005-07-30 07:34:17
P7300047.JPG,P7300047.JPG,2005:07:30 07:34:27,2005:07:30 07:34:27,2005:07:30 07:34:27,2005-07-30 07:34:27
P7300048.JPG,P7300048.JPG,2005:07:30 07:59:31,2005:07:30 07:59:31,2005:07:30 07:59:31,2005-07-30 07:59:31
P7300049.JPG,P7300049.JPG,2005:07:30 10:11:01,2005:07:30 10:11:01,2005:07:30 10:11:01,2005-07-30 10:11:01
P7300050.JPG,P7300050.JPG,2005:07:30 10:28:15,2005:07:30 10:28:15,2005:07:30 10:28:15,2005-07-30 10:28:15
P7300051.JPG,P7300051.JPG,2005:07:30 10:28:27,2005:07:30 10:28:27,2005:07:30 10:28:27,2005-07-30 10:28:27
P7300052.JPG,P7300052.JPG,2005:07:30 10:28:41,2005:07:30 10:28:41,2005:07:30 10:28:41,2005-07-30 10:28:41
